,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,isangel,36,VU,1546655867,99,-19.55,169.27,79.08,22.39
1,atuona,44,PF,1546655868,100,-9.8,-139.03,80.47,14.9
2,lebu,0,ET,1546655868,76,8.96,38.73,31.11,2.93
3,provideniya,0,RU,1546655869,100,64.42,-173.23,2.76,12.66
4,punta arenas,40,CL,1546653600,70,-53.16,-70.91,42.8,21.92
5,natal,40,BR,1546653600,83,-5.81,-35.21,80.6,12.75
6,port alfred,8,ZA,1546655870,86,-33.59,26.89,68.37,18.59
7,ingham,0,AU,1546655870,85,-18.65,146.16,82.27,7.63
8,rikitea,92,PF,1546655870,100,-23.12,-134.97,77.19,21.94
9,nanortalik,32,GL,1546655871,88,60.14,-45.24,26.92,14.67
10,mahebourg,40,MU,1546653600,88,-20.41,57.7,80.6,3.36
11,impfondo,20,CD,1546655871,100,1.62,18.06,70.08,2.59
12,tiarei,75,PF,1546655400,58,-17.53,-149.33,87.8,10.29
13,hilo,75,US,1546653180,62,19.71,-155.08,78.08,6.93
14,beringovskiy,88,RU,1546655872,100,63.05,179.32,-8.45,6.85
15,westport,8,IE,1546655873,100,53.8,-9.52,39.75,12.1
16,busselton,0,AU,1546655873,90,-33.64,115.35,70.26,6.73
17,cherskiy,12,RU,1546655874,0,68.75,161.3,-30.95,2.15
18,sokoto,0,NG,1546655874,49,13.06,5.24,58.15,9.19
19,puerto ayora,68,EC,1546655874,100,-0.74,-90.35,75.88,7.85
20,la carolina,0,ES,1546655875,67,38.27,-3.62,21.43,3.15
21,victoria,75,BN,1546653600,74,5.28,115.24,87.8,4.7
22,barrow,0,AR,1546655876,39,-38.31,-60.23,70.62,13.67
23,samarai,64,PG,1546655876,100,-10.62,150.67,82.86,22.95
24,queenstown,32,NZ,1546655775,51,-45.03,168.66,67.78,8.41
25,taseyevo,0,RU,1546655877,33,57.22,94.9,-22.63,2.37
26,butaritari,32,KI,1546655877,100,3.07,172.79,83.94,14.0
27,ushuaia,75,AR,1546653600,70,-54.81,-68.31,42.8,19.46
28,cape town,20,ZA,1546653600,68,-33.93,18.42,66.2,12.75
29,carnarvon,0,ZA,1546655878,54,-30.97,22.13,59.32,9.53
30,maragogi,88,BR,1546655879,91,-9.01,-35.22,77.23,4.61
31,kaitangata,64,NZ,1546655879,41,-46.28,169.85,78.81,24.63
32,nuuk,64,GL,1546653000,72,64.17,-51.74,14.0,8.05
33,huanren,0,CN,1546655616,43,41.26,125.37,11.31,3.15
34,lichinga,64,MZ,1546655880,97,-13.3,35.25,65.94,2.59
35,poum,80,MK,1546655880,88,41.28,20.71,13.47,1.81
36,kuching,75,MY,1546653600,83,1.56,110.34,84.2,2.24
37,saskylakh,24,RU,1546655881,75,71.97,114.09,-17.32,6.4
38,esperance,40,TT,1546653600,83,10.24,-61.45,75.2,5.82
39,ornskoldsvik,32,SE,1546654800,92,63.29,18.72,30.2,4.7
40,grindavik,90,IS,1546653600,100,63.84,-22.43,48.2,24.16
41,cidreira,88,BR,1546655882,86,-30.17,-50.22,69.72,9.64
42,karratha,8,AU,1546655882,42,-20.74,116.85,94.87,10.31
43,luderitz,0,NA,1546655883,72,-26.65,15.16,64.05,22.06
44,avarua,75,CK,1546653600,69,-21.21,-159.78,80.6,13.87
45,port hardy,90,CA,1546653600,100,50.7,-127.42,44.6,2.24
46,labuhan,64,ID,1546655885,65,-2.54,115.51,86.19,3.38
47,tiksi,44,RU,1546655885,70,71.64,128.87,-10.12,14.67
48,hobart,0,AU,1546653600,22,-42.88,147.33,69.8,17.22
